iso,year,kc,kg,ki,rgdpwok
AFG,1950,,,,
AFG,1951,,,,
AFG,1952,,,,
AFG,1953,,,,
AFG,1954,,,,
AFG,1955,,,,
AFG,1956,,,,
AFG,1957,,,,
AFG,1958,,,,
AFG,1959,,,,
AFG,1960,,,,
AFG,1961,,,,
AFG,1962,,,,
AFG,1963,,,,
AFG,1964,,,,
AFG,1965,,,,
AFG,1966,,,,
AFG,1967,,,,
AFG,1968,,,,
AFG,1969,,,,
AFG,1970,87.201813,6.8749719,7.2829423,2573.7576
AFG,1971,87.429642,7.3914394,8.1368999,2638.926
AFG,1972,86.215263,7.894959,7.2236109,2254.3721
AFG,1973,85.948303,7.4510479,6.5006189,2385.8342
AFG,1974,85.76857,7.0986094,7.7850194,2449.9578
AFG,1975,83.485985,9.4178371,8.6125698,2575.9639
AFG,1976,79.311348,9.3292227,12.117267,2647.2288
AFG,1977,82.644691,9.6902704,10.988956,2460.4226
AFG,1978,81.395042,9.9750385,12.209496,2583.0493
AFG,1979,81.068283,9.6645317,11.753057,2470.823
AFG,1980,81.400917,9.7416992,11.64659,2454.8032
AFG,1981,81.077278,9.7626486,11.878043,2748.6123
AFG,1982,81.193031,9.7114458,11.760101,3017.042
AFG,1983,81.230446,9.7314911,11.762115,3158.6465
AFG,1984,81.1642,9.7380762,11.799872,3118.9644
AFG,1985,81.189056,9.7342682,11.773479,3040.1785
AFG,1986,81.190765,9.7386503,11.778183,3123.251
AFG,1987,81.173553,9.7452679,11.783217,2809.6292
AFG,1988,81.173882,9.7506227,11.777442,2543.3469
AFG,1989,81.167786,9.7571802,11.778679,2297.468
AFG,1990,81.164742,9.7584629,11.779216,2210.5964
AFG,1991,84.39566,10.204805,11.709842,2024.4008
AFG,1992,87.607925,10.648634,11.640862,1928.3885
AFG,1993,90.792152,11.099408,11.571567,1321.8594
AFG,1994,93.962189,11.543279,11.502995,972.67407
AFG,1995,97.13015,11.969275,11.435963,1427.161
AFG,1996,100.26926,12.403287,11.36853,1339.7731
AFG,1997,88.854019,2.0986116,22.681019,1414.1797
AFG,1998,90.673431,2.1552465,22.589964,1340.6279
AFG,1999,92.499382,2.1693318,22.483448,1270.0436
AFG,2000,94.234505,2.2294638,22.398848,1226.7943
AFG,2001,94.162018,2.2802899,23.4676,1186.1138
AFG,2002,93.330078,2.0974391,19.038788,1935.0981
AFG,2003,99.88707,10.499883,22.189816,2033.8098
AFG,2004,99.10247,13.010365,27.18075,1970.3533
AFG,2005,100.13799,15.641736,26.895636,2112.7668
AFG,2006,100.45452,15.859928,24.67687,2170.6919
AFG,2007,99.230141,18.136976,23.08882,2309.4292
AFG,2008,98.824463,16.133448,19.766256,3147.1577
AFG,2009,94.299561,15.047041,17.897961,
AGO,1950,,,,
AGO,1951,,,,
AGO,1952,,,,
AGO,1953,,,,
AGO,1954,,,,
AGO,1955,,,,
AGO,1956,,,,
AGO,1957,,,,
AGO,1958,,,,
AGO,1959,,,,
AGO,1960,,,,
AGO,1961,,,,
AGO,1962,,,,
AGO,1963,,,,
AGO,1964,,,,
AGO,1965,,,,
AGO,1966,,,,
AGO,1967,,,,
AGO,1968,,,,
AGO,1969,,,,
AGO,1970,60.19558,37.085442,22.534485,5338.8599
AGO,1971,60.236458,36.468319,22.594,5560.7686
AGO,1972,60.139866,37.151875,22.68391,5429.3857
AGO,1973,60.348316,36.844112,22.61475,5770.584
AGO,1974,60.448521,37.043213,22.484467,6038.3394
AGO,1975,60.287273,36.627853,22.436758,5837.2061
AGO,1976,60.337929,36.529751,22.632061,5499.8672
AGO,1977,60.225388,37.163414,23.065763,5391.1001
AGO,1978,60.160976,37.251404,22.691637,5070.3672
AGO,1979,59.144688,38.649113,22.17061,4996.8462
AGO,1980,60.468323,32.892563,21.6523,4766.0063
AGO,1981,61.707458,36.161396,22.652275,4457.2173
AGO,1982,60.831203,39.460274,24.862408,4526.6426
AGO,1983,62.097507,38.277359,20.583439,4592.019
AGO,1984,54.883045,42.519287,19.946409,4938.8506
AGO,1985,60.906662,38.433945,15.692433,4879.6333
AGO,1986,53.69038,37.677494,12.401047,5192.957
AGO,1987,50.102116,37.118607,13.327741,5454.5811
AGO,1988,47.432499,36.400333,9.2753696,5782.4463
AGO,1989,50.135754,34.693645,8.662653,5597.6104
AGO,1990,49.413887,35.20433,9.4803028,5488.6411
AGO,1991,38.229137,38.194221,19.772053,5817.4028
AGO,1992,31.554323,37.371391,32.22678,5631.9683
AGO,1993,39.583237,26.628984,34.384106,4005.8315
AGO,1994,33.04496,32.150864,32.885693,4040.7471
AGO,1995,32.094769,35.005508,34.981239,4615.7578
AGO,1996,30.645496,12.991383,44.422276,5333.6611
AGO,1997,32.649769,35.854267,31.983898,5572.5186
AGO,1998,49.560295,19.554968,45.97327,5236.9951
AGO,1999,32.277935,39.359783,34.124706,5593.7036
AGO,2000,25.894115,29.561708,19.675907,5345.9404
AGO,2001,54.560749,26.13592,19.015589,5003.374
AGO,2002,44.092785,25.94018,17.463816,5714.189
AGO,2003,50.555138,25.177998,17.907547,5648.3232
AGO,2004,48.028561,22.984488,13.04317,5991.7192
AGO,2005,39.249046,19.43272,11.498444,7050.6484
AGO,2006,31.413551,15.71351,15.776264,8318.6084
AGO,2007,34.082283,16.438366,19.380434,9837.5498
AGO,2008,34.980629,19.174372,21.841406,10910.789
AGO,2009,45.946922,18.951319,23.916624,
ALB,1950,,,,
ALB,1951,,,,
ALB,1952,,,,
ALB,1953,,,,
ALB,1954,,,,
ALB,1955,,,,
ALB,1956,,,,
ALB,1957,,,,
ALB,1958,,,,
ALB,1959,,,,
ALB,1960,,,,
ALB,1961,,,,
ALB,1962,,,,
ALB,1963,,,,
ALB,1964,,,,
ALB,1965,,,,
ALB,1966,,,,
ALB,1967,,,,
ALB,1968,,,,
ALB,1969,,,,
ALB,1970,48.10807,5.9113946,43.086796,6677.7012
ALB,1971,48.118366,5.9126596,43.075932,6733.8682
ALB,1972,48.120312,5.9128985,43.068188,6787.1172
ALB,1973,48.085533,5.9086251,43.116272,6911.7217
ALB,1974,48.149246,5.9164538,43.043346,6980.0557
ALB,1975,48.126148,5.9136157,43.04496,7053.3726
ALB,1976,47.98111,5.8957939,43.260628,7123.2358
ALB,1977,48.340157,5.9399123,42.824837,7198.9009
ALB,1978,48.056839,5.9050994,43.049805,7292.5742
ALB,1979,47.544567,5.8421526,43.909763,7354.3496
ALB,1980,49.409607,6.0713239,41.526791,7454.5229
ALB,1981,47.203049,5.8001876,43.727764,7597.9814
ALB,1982,45.988258,5.6509175,46.522362,7545.7866
ALB,1983,48.470509,5.9559298,44.187206,7515.4277
ALB,1984,51.825989,6.3682427,39.43729,7376.1348
ALB,1985,51.069725,6.2753148,40.308197,7288.7632
ALB,1986,50.608692,6.2186642,39.996948,7485.2188
ALB,1987,53.735573,6.6028876,37.204018,7315.7871
ALB,1988,54.06673,6.643579,37.739792,7026.7905
ALB,1989,51.202721,6.291657,40.860916,7424.2402
ALB,1990,61.109436,7.5089684,42.700481,6700.2397
ALB,1991,87.118713,10.704921,7.8309684,5822.2275
ALB,1992,107.6273,13.224962,5.7714119,5924.7617
ALB,1993,93.552368,11.495471,16.17165,6025.1357
ALB,1994,83.853508,10.303701,24.034971,6163.3413
ALB,1995,81.010117,9.9543123,24.64086,6501.6313
ALB,1996,89.771332,11.030868,21.821501,7139.0562
ALB,1997,89.902992,11.047046,16.388472,6464.1108
ALB,1998,91.335571,11.223077,16.413895,7154.0288
ALB,1999,84.384895,10.57944,18.767952,8006.7866
ALB,2000,84.236603,9.8438644,24.507757,8249.1709
ALB,2001,82.549622,10.630153,27.791128,8455.4795
ALB,2002,86.793182,10.97327,27.444921,8665.0801
ALB,2003,86.37973,9.7032862,28.546261,9639.6689
ALB,2004,84.628677,9.3412352,27.51976,10746.145
ALB,2005,84.586586,8.742116,30.735014,11363.21
ALB,2006,81.27639,7.7809858,32.998295,12354.398
ALB,2007,82.314407,7.5105033,34.582062,13426.811
ALB,2008,77.625259,7.3630457,37.271362,14404.627
ALB,2009,80.859772,7.4960256,34.101723,
ARE,1950,,,,
ARE,1951,,,,
ARE,1952,,,,
ARE,1953,,,,
ARE,1954,,,,
ARE,1955,,,,
ARE,1956,,,,
ARE,1957,,,,
ARE,1958,,,,
ARE,1959,,,,
ARE,1960,,,,
ARE,1961,,,,
ARE,1962,,,,
ARE,1963,,,,
ARE,1964,,,,
ARE,1965,,,,
ARE,1966,,,,
ARE,1967,,,,
ARE,1968,,,,
ARE,1969,,,,
ARE,1970,,,,
ARE,1971,,,,
ARE,1972,,,,
ARE,1973,,,,
ARE,1974,,,,
ARE,1975,,,,
ARE,1976,,,,
ARE,1977,,,,
ARE,1978,,,,
ARE,1979,,,,
ARE,1980,,,,
ARE,1981,,,,
ARE,1982,,,,
ARE,1983,,,,
ARE,1984,,,,
ARE,1985,,,,
ARE,1986,48.060188,9.1162271,31.882906,76901.922
ARE,1987,46.163422,8.4734612,26.244448,75280.852
ARE,1988,51.028675,9.3135424,26.638855,70571.445
ARE,1989,49.004341,8.4612026,25.097862,74537.539
ARE,1990,46.197117,7.1200371,23.199673,81109.141
ARE,1991,47.258904,7.0987878,23.314957,78861.055
ARE,1992,49.454208,7.1764054,24.279913,76223.906
ARE,1993,42.595108,7.1294203,24.961494,72495.258
ARE,1994,40.762859,6.5675383,26.615211,72999.508
ARE,1995,41.64521,6.3533373,27.029242,71612.672
ARE,1996,40.422901,5.9328804,26.087036,72850
ARE,1997,41.25502,5.8662801,25.656008,73538.828
ARE,1998,39.018387,7.0290527,26.204693,68687.844
ARE,1999,41.419064,6.990592,26.814859,64988.5
ARE,2000,46.309101,6.8507767,25.609905,65848.609
ARE,2001,48.682243,6.5044813,24.870054,66718.25
ARE,2002,49.212906,6.1857052,24.322386,65176.328
ARE,2003,46.315536,5.7887707,23.670691,68992.086
ARE,2004,49.444096,5.2446055,22.659899,72276.297
ARE,2005,52.98135,4.509418,22.031425,77241.008
ARE,2006,53.475105,5.2886558,24.565357,82717.484
ARE,2007,53.572571,5.9110551,43.092365,86221.227
ARE,2008,56.28685,5.8163662,44.261948,89918.117
ARE,2009,56.627079,6.9886942,41.853378,
ARG,1950,73.084335,13.397395,15.485788,12225.838
ARG,1951,70.616737,12.530766,21.430414,12799.574
ARG,1952,71.189613,13.000327,19.42997,11821.178
ARG,1953,67.783768,12.042589,19.920004,12194.333
ARG,1954,70.469795,12.193461,18.567528,12424.932
ARG,1955,72.090912,11.770595,19.465082,13153.269
ARG,1956,70.794571,12.800283,17.848658,13254.938
ARG,1957,71.307037,11.796406,18.807842,13675.157
ARG,1958,71.500603,11.36381,19.093489,14441.504
ARG,1959,70.261787,12.120839,18.360088,13528.521
ARG,1960,65.884491,11.98492,24.396826,14828.358
ARG,1961,66.926933,11.587985,25.871592,15114.418
ARG,1962,66.948349,11.49763,23.404888,15000.175
ARG,1963,67.625992,11.937845,19.989517,14225.397
ARG,1964,66.850212,11.055803,23.775944,15159.98
ARG,1965,68.414093,10.066449,22.474579,16398.965
ARG,1966,67.499413,10.042637,21.597088,16214.585
ARG,1967,67.61908,9.7581367,21.786312,16465.564
ARG,1968,67.410378,10.328128,22.611694,17046.219
ARG,1969,65.777504,9.4429016,25.422977,18390.744
ARG,1970,64.712105,9.1211357,25.159796,18726.533
ARG,1971,65.110817,9.1914024,26.212746,19153.08
ARG,1972,65.032112,8.8897581,26.108809,19168.188
ARG,1973,66.23539,9.2145939,23.587603,19382.375
ARG,1974,66.907188,9.3633423,23.136368,20248.836
ARG,1975,67.385757,9.4410028,23.346823,19812.871
ARG,1976,61.812725,9.7009611,25.333769,19890.979
ARG,1977,58.828903,9.4103508,28.487343,21110.508
ARG,1978,59.868187,9.9816675,25.539389,20225.633
ARG,1979,63.736534,9.8979187,25.617249,21219.598
ARG,1980,67.472122,9.8892422,26.606077,21218.018
ARG,1981,68.75473,9.9142208,23.853529,19673.34
ARG,1982,67.451912,9.5392284,19.583038,18791.611
ARG,1983,67.700005,9.3609028,18.867121,19325.068
ARG,1984,69.062775,9.7541132,17.766277,19396.305
ARG,1985,66.176819,11.138613,16.347027,17697.205
ARG,1986,70.118286,9.2914944,16.970938,18777.307
ARG,1987,69.988396,8.9433327,18.712215,18987.766
ARG,1988,68.271271,8.3842783,18.291368,18391.361
ARG,1989,66.533783,10.401586,15.400068,16679.93
ARG,1990,70.877815,5.9988461,13.047851,16373.625
ARG,1991,75.4105,4.9193382,15.646302,17887.188
ARG,1992,77.542458,5.6408577,19.088697,19471.25
ARG,1993,76.417297,5.8951583,21.466839,20512.338
ARG,1994,76.505211,5.6147199,22.927057,21384.268
ARG,1995,74.125687,5.70719,20.206623,20734.383
ARG,1996,74.335571,5.5561271,21.776989,21264.068
ARG,1997,75.332985,5.3568912,23.716291,22247.619
ARG,1998,74.952126,5.324204,23.923292,22577.924
ARG,1999,75.763367,5.6145024,20.423334,21457.818
ARG,2000,75.790215,5.6805487,19.762587,20818.557
ARG,2001,73.867348,5.7333736,17.937279,19734.348
ARG,2002,68.400223,5.8292027,11.989859,18021.379
ARG,2003,68.355896,5.496666,15.621626,18971.318
ARG,2004,69.269852,5.2544656,18.843325,19902.834
ARG,2005,69.105064,5.1180768,19.922112,21155.576
ARG,2006,68.915428,4.9874907,21.763664,22303.104
ARG,2007,69.610146,4.9838271,23.151545,23735.373
ARG,2008,70.266998,5.0470881,25.296154,24783.729
ARG,2009,69.510384,5.3045206,22.643192,
ARM,1950,,,,
ARM,1951,,,,
ARM,1952,,,,
ARM,1953,,,,
ARM,1954,,,,
ARM,1955,,,,
ARM,1956,,,,
ARM,1957,,,,
ARM,1958,,,,
ARM,1959,,,,
ARM,1960,,,,
ARM,1961,,,,
ARM,1962,,,,
ARM,1963,,,,
ARM,1964,,,,
ARM,1965,,,,
ARM,1966,,,,
ARM,1967,,,,
ARM,1968,,,,
ARM,1969,,,,
ARM,1970,,,,
ARM,1971,,,,
ARM,1972,,,,
ARM,1973,,,,
ARM,1974,,,,
ARM,1975,,,,
ARM,1976,,,,
ARM,1977,,,,
ARM,1978,,,,
ARM,1979,,,,
ARM,1980,,,,
ARM,1981,,,,
ARM,1982,,,,
ARM,1983,,,,
ARM,1984,,,,
